"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
1,"01M015",3.00,2013.00,"All Students",27.00,277.77,16.00,59.25,11.00,40.74,0.00,0.00,0.00,0.00
2,"01M015",4.00,2013.00,"All Students",20.00,277.40,12.00,60.00,6.00,30.00,1.00,5.00,1.00,5.00
3,"01M015",3.00,2013.00,"Asian",1.00,,,,,,,,,
4,"01M015",4.00,2013.00,"Asian",2.00,,,,,,,,,
5,"01M015",3.00,2013.00,"Black",11.00,280.27,6.00,54.54,5.00,45.45,0.00,0.00,0.00,0.00
6,"01M015",4.00,2013.00,"Black",8.00,264.12,6.00,75.00,2.00,25.00,0.00,0.00,0.00,0.00
7,"01M015",3.00,2013.00,"Hispanic",15.00,274.86,10.00,66.66,5.00,33.33,0.00,0.00,0.00,0.00
8,"01M015",4.00,2013.00,"Hispanic",10.00,282.60,5.00,50.00,4.00,40.00,1.00,10.00,0.00,0.00
9,"01M015",3.00,2014.00,"All Students",18.00,286.38,6.00,33.33,9.00,50.00,2.00,11.11,1.00,5.55
10,"01M015",4.00,2014.00,"All Students",24.00,282.41,9.00,37.50,14.00,58.33,1.00,4.16,0.00,0.00
11,"01M015",3.00,2014.00,"Asian",1.00,,,,,,,,,
12,"01M015",4.00,2014.00,"Asian",1.00,,,,,,,,,
13,"01M015",3.00,2014.00,"Black",10.00,282.50,4.00,40.00,5.00,50.00,0.00,0.00,1.00,10.00
14,"01M015",4.00,2014.00,"Black",10.00,280.50,5.00,50.00,5.00,50.00,0.00,0.00,0.00,0.00
15,"01M015",3.00,2014.00,"Hispanic",7.00,291.71,2.00,28.57,3.00,42.85,2.00,28.57,0.00,0.00
16,"01M015",4.00,2014.00,"Hispanic",13.00,282.46,4.00,30.76,8.00,61.53,1.00,7.69,0.00,0.00
17,"01M015",3.00,2015.00,"All Students",17.00,279.58,10.00,58.82,4.00,23.52,2.00,11.76,1.00,5.88
18,"01M015",4.00,2015.00,"All Students",17.00,281.00,8.00,47.05,7.00,41.17,2.00,11.76,0.00,0.00
19,"01M015",4.00,2015.00,"Asian",1.00,,,,,,,,,
20,"01M015",3.00,2015.00,"Black",10.00,276.00,7.00,70.00,2.00,20.00,1.00,10.00,0.00,0.00
21,"01M015",4.00,2015.00,"Black",9.00,276.33,5.00,55.55,3.00,33.33,1.00,11.11,0.00,0.00
22,"01M015",3.00,2015.00,"Hispanic",7.00,284.71,3.00,42.85,2.00,28.57,1.00,14.28,1.00,14.28
23,"01M015",4.00,2015.00,"Hispanic",7.00,287.71,2.00,28.57,4.00,57.14,1.00,14.28,0.00,0.00
24,"01M019",3.00,2013.00,"All Students",36.00,310.63,8.00,22.22,10.00,27.77,10.00,27.77,8.00,22.22
25,"01M019",4.00,2013.00,"All Students",42.00,288.85,18.00,42.85,11.00,26.19,13.00,30.95,0.00,0.00
26,"01M019",3.00,2013.00,"Asian",4.00,,,,,,,,,
27,"01M019",4.00,2013.00,"Asian",5.00,,,,,,,,,
28,"01M019",3.00,2013.00,"Black",9.00,297.66,1.00,11.11,5.00,55.55,3.00,33.33,0.00,0.00
29,"01M019",4.00,2013.00,"Black",9.00,282.00,3.00,33.33,6.00,66.66,0.00,0.00,0.00,0.00
30,"01M019",3.00,2013.00,"Hispanic",17.00,303.58,5.00,29.41,4.00,23.52,5.00,29.41,3.00,17.64
